Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1890,"8,774","4,832","4,593","4,521","8,291","2,124","5,917","4,596","4,038","2,391","4,104","5,885","6,003","3,521","3,479","1,761","2,821","6,559","4,290","6,505","2,310","3,086","4,706",,"4,564"
1891,"9,185","4,966","4,532","4,579","7,784","2,269","5,886","4,655","4,111","2,337","4,148","5,835","5,180","3,571","3,525","1,664","2,896","6,364","4,297","6,584","2,251","3,024","4,757",,"4,558"
1892,"7,864","5,045","4,578","4,507","8,357","2,197","5,909","4,732","4,400","2,213","4,235","5,646","5,350","3,629","3,529","1,762","2,967","6,394","4,351","6,606","2,226","3,181","4,870",,"4,626"
1893,"7,298","5,038","4,579","4,436","8,584","2,279","6,275","4,789","4,227","2,319","4,074","5,594","5,636","3,673","3,582","1,755","3,037","6,387","4,440","6,762","2,255","3,313","4,753",,"4,699"
1894,"7,411","5,283","4,579","4,601","8,286","2,215","6,405","4,841","4,255","2,420","4,469","5,914","5,705","3,710","3,605","1,948","3,103","6,460","4,426","6,765","2,210","3,339","4,513",,"4,851"
1895,"6,864","5,378","4,593","4,507","9,089","2,343","6,503","5,046","4,199","2,581","4,376","6,045","5,432","3,756","3,636","1,955","3,159","6,581","4,424","6,599","2,288","3,454","4,965",,"4,869"
1896,"7,253","5,442","4,667","4,350","9,215","2,329","6,643","5,166","3,847","2,715","4,513","6,237","5,905","3,793","3,689","1,829","3,216","6,249","4,487","6,903","2,304","3,554","4,773",,"4,931"
1897,"6,731","5,460","4,712","4,774","9,577","2,253","6,734","5,215","4,025","2,806","4,381","6,259","4,964","3,826","3,691","1,848","3,381","6,783","4,659","7,428","2,420","3,701","5,079",,"4,949"
1898,"7,659","5,718","4,747","4,911","9,635","2,498","6,997","5,227","4,316","2,885","4,638","6,500","5,306","3,859","3,681","2,173","3,524","6,829","4,628","7,468","2,487","3,803","5,118",,"5,143"
1899,"7,557","5,773","4,798","5,314","9,994","2,487","6,885","5,378","4,365","2,779","4,800","6,704","5,362","3,896","3,718","1,989","3,304","6,839","4,706","7,608","2,557","3,972","5,630",,"5,171"
1900,"7,899","5,758","4,895","5,534","9,989","2,397","6,879","5,495","4,441","2,885","4,860","6,594","4,739","3,947","3,822","2,053","3,281","6,757","4,709","7,850","2,667","3,938","5,642",,"5,205"
1901,"7,555","5,884","4,859","5,886","9,759","2,565","6,835","5,655","4,726","2,830","4,617","6,533","4,511","3,988","3,877","2,100","3,522","6,789","4,773","8,201","2,599","3,991","6,223",,"5,177"
1902,"7,524","5,904","4,851","6,331","9,858","2,667","6,871","5,722","4,557","2,753","4,558","6,643","5,740","4,023","3,937","1,965","3,238","6,993","4,804","8,213","2,592","3,959","6,203",,"5,214"
1903,"8,023","5,905","4,873","6,337","9,544","2,371","7,033","5,994","4,547","2,913","4,707","6,517","5,571","4,052","3,976","2,076","3,562","7,031","4,747","8,627","2,607","4,159","6,266",,"5,308"
1904,"8,453","5,948","4,918","6,234","9,925","2,601","7,185","6,058","4,500","2,995","4,797","6,500","5,835","4,081","4,042","2,068","3,585","6,976","4,737","8,938","2,619","4,296","6,384",,"5,398"
1905,"8,428","6,242","4,981","6,770","10,197","2,541","7,421","6,095","4,418","3,014","4,915","6,636","5,940","4,110","4,128","2,013","3,915","7,095","4,748","8,855","2,525","4,274","6,841",,"5,526"
1906,"8,871","6,409","5,014","7,311","10,960","2,737","7,343","6,197","4,602","3,104","4,843","6,798","5,827","4,130","4,266","2,258","3,830","7,241","4,924","9,499","2,520","4,604","6,989",,"5,544"
1907,"9,086","6,761","5,036","7,365","10,926","2,933","7,492","6,351","4,715","3,173","5,230","6,868","5,868","4,160","4,342","2,306","4,009","7,148","5,115","9,820","2,558","4,884","6,753",,"5,717"
1908,"9,237","6,732","5,047","6,790","10,628","3,166","7,730","6,471","4,866","3,164","5,208","6,531","5,797","4,189","4,433","2,294","3,962","7,059","5,240","9,763","2,497","4,774","6,252",,"5,817"
1909,"9,803","6,658","5,111","7,317","11,048","3,004","7,718","6,635","4,916","3,262","5,370","6,621","5,869","4,200","4,468","2,263","4,036","7,225","5,307","9,036","2,474","4,743","6,855",,"5,871"
